Checksum,Class_Ctry_Releasing_Instruct,Classifying_Country,Event_Start_Time_UTC,Frame_Center_Elevation,Frame_Center_Latitude,Frame_Center_Longitude,Generic_Flag_Data,Item_Designator_ID,Mission_ID,Offset_Corner_Latitude_Point_1,Offset_Corner_Latitude_Point_2,Offset_Corner_Latitude_Point_3,Offset_Corner_Latitude_Point_4,Offset_Corner_Long_Point_1,Offset_Corner_Long_Point_2,Offset_Corner_Long_Point_3,Offset_Corner_Long_Point_4,Platform_Call_Sign,Platform_Designation,Platform_Ground_Speed,Platform_Heading_Angle,Platform_Pitch_Angle,Platform_Roll_Angle,Platform_Tail_Number,Releasing_Instructions,Security_Classification,Sensor_Horizontal_Fld_of_View,Sensor_Latitude,Sensor_Longitude,Sensor_Relative_Azimuth_Angle,Sensor_Relative_Elev_Angle,Sensor_Relative_Roll_Angle,Sensor_True_Altitude,Sensor_Vertical_Field_of_View,Slant_Range,Target_Width,UAS_LDS_Version_Number,UNIX_Time_Stamp,Version
16058,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1864.16723632813,41.1197082517295,-104.852539349744,0,System.Byte[],ESRI_Metadata_Collect,41.1179160522605,41.1190376074837,41.1212990290359,41.1203697404224,-104.851664994448,-104.854812215738,-104.853310705071,-104.850477061467,Firebird,C208B,0,288.867919921875,3.56273078918457,-9.52940464019775,N97826,CA,UNCLASSIFIED//,7.76195907592773,41.1338702315157,-104.844435558116,272.000000111759,-22.882812508793,0,2945.48095703125,4.36713218688965,2026.84314037367,0,1,9/19/2012 8:48:50 PM,5
48899,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1864.16723632813,41.1197366244717,-104.852533817688,0,System.Byte[],ESRI_Metadata_Collect,41.1179535805556,41.1190591135614,41.1213182462253,41.1204049798292,-104.851648017951,-104.85479523924,-104.853316617456,-104.850480684963,Firebird,C208B,0,289.170074462891,3.8123722076416,-9.6392707824707,N97826,CA,UNCLASSIFIED//,7.76745271682739,41.1338957125013,-104.844560532293,271.039062605947,-22.7734374733518,0,2945.17749023438,4.36713218688965,2022.78024564096,0,1,9/19/2012 8:48:51 PM,5
32985,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1864.16723632813,41.1197675117849,-104.852528704727,0,System.Byte[],ESRI_Metadata_Collect,41.1179959123098,41.1190831342099,41.1213399779857,41.1204427338071,-104.851626882772,-104.85477639295,-104.853325237825,-104.850487016443,Firebird,C208B,0,289.807281494141,4.32019996643066,-9.57670783996582,N97826,CA,UNCLASSIFIED//,7.76195907592773,41.1339240852436,-104.844707550874,269.953125107557,-22.9843750237415,0,2944.87377929688,4.36713218688965,2018.17951212129,0,1,9/19/2012 8:48:51 PM,5
40394,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1864.16723632813,41.1197886341809,-104.852528034175,0,System.Byte[],ESRI_Metadata_Collect,41.1180284791469,41.1190973899413,41.1213519448288,41.1204684339795,-104.851614767779,-104.854764277957,-104.853336011713,-104.850497790332,Firebird,C208B,0,290.224761962891,4.74196577072144,-8.73287105560303,N97826,CA,UNCLASSIFIED//,7.75921249389648,41.1339478060296,-104.844833866155,269.171875153941,-23.7421874998799,0,2944.57006835938,4.3643856048584,2014.81976593258,0,1,9/19/2012 8:48:51 PM,5
33916,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1864.16723632813,41.1198044759779,-104.852531219298,0,System.Byte[],ESRI_Metadata_Collect,41.1180511876085,41.1191063650737,41.1213609199612,41.1204911424411,-104.851604219573,-104.854758307527,-104.853352930166,-104.850510131008,Firebird,C208B,0,290.345611572266,4.83596324920654,-8.18659019470215,N97826,CA,UNCLASSIFIED//,7.75921249389648,41.1339710658109,-104.844960600531,268.648437622154,-24.5546875356486,0,2944.26635742188,4.3643856048584,2012.09331909476,0,1,9/19/2012 8:48:51 PM,5
6387,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1863.86352539063,41.1198191443085,-104.85253624844,0,System.Byte[],ESRI_Metadata_Collect,41.1180750114919,41.1191141667396,41.1213687216271,41.1205126774363,-104.851595515386,-104.854754181116,-104.853369403749,-104.850522026815,Firebird,C208B,0,290.455474853516,4.63270950317383,-7.06961250305176,N97826,CA,UNCLASSIFIED//,7.75921249389648,41.1339939484065,-104.845087586364,268.382812596015,-25.4375000043947,0,2944.26635742188,4.3643856048584,2009.55430092513,0,1,9/19/2012 8:48:51 PM,5
47330,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1863.86352539063,41.1198389256,-104.852538763011,0,System.Byte[],ESRI_Metadata_Collect,41.1181016594481,41.1191270813665,41.121381636254,41.1205393253925,-104.851584296627,-104.854747540134,-104.853383362761,-104.850533696939,Firebird,C208B,0,290.367584228516,4.39039278030396,-6.5691089630127,N97826,CA,UNCLASSIFIED//,7.76195907592773,41.1340168310022,-104.84521524275,268.445312592305,-26.1484375252148,0,2943.96264648438,4.36713218688965,2006.42854953334,0,1,9/19/2012 8:48:52 PM,5
12912,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1863.86352539063,41.1198556055873,-104.852544127429,0,System.Byte[],ESRI_Metadata_Collect,41.1181274949882,41.1191368946891,41.1213914495767,41.1205628720444,-104.851578216604,-104.854743749,-104.85340017162,-104.850545928021,Firebird,C208B,0,290.037994384766,3.89049959182739,-5.99078321456909,N97826,CA,UNCLASSIFIED//,7.76745271682739,41.1340391268647,-104.845342899135,268.570312584883,-26.6171874974934,0,2943.6591796875,4.36713218688965,2003.81153309807,0,1,9/19/2012 8:48:52 PM,5
1929,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1863.86352539063,41.1198726627603,-104.852547396371,0,System.Byte[],ESRI_Metadata_Collect,41.118153707714,41.1191470851975,41.121401640085,41.120586795882,-104.851567752217,-104.854737862389,-104.853414885003,-104.850558352516,Firebird,C208B,0,289.845733642578,3.82030701637268,-5.64744997024536,N97826,CA,UNCLASSIFIED//,7.76195907592773,41.1340612969986,-104.845470890796,268.570312584883,-27.2187499828724,0,2943.6591796875,4.36713218688965,2001.10836932461,0,1,9/19/2012 8:48:52 PM,5
8099,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1863.86352539063,41.1198906419426,-104.852550413857,0,System.Byte[],ESRI_Metadata_Collect,41.1181808424492,41.1191559088269,41.1214104637145,41.1206116417289,-104.851557036373,-104.854727146545,-104.853431635818,-104.850572814442,Firebird,C208B,0,289.296417236328,4.20300912857056,-4.771568775177,N97826,CA,UNCLASSIFIED//,7.75921249389648,41.1340869456223,-104.845620759225,268.390625116506,-27.9921874999964,0,2943.6591796875,4.3643856048584,1998.11649555297,0,1,9/19/2012 8:48:52 PM,5
402,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1863.55993652344,41.1199038853496,-104.852552090237,0,System.Byte[],ESRI_Metadata_Collect,41.118203241409,41.1191599966811,41.1214168404569,41.1206340406888,-104.851544979424,-104.854721956261,-104.853444756639,-104.850583646376,Firebird,C208B,0,288.906372070313,4.58571100234985,-4.53047275543213,N97826,CA,UNCLASSIFIED//,7.76195907592773,41.1341091157562,-104.845749253801,268.312500163054,-28.3437500001601,0,2943.35546875,4.36713218688965,1995.78818911588,0,1,9/19/2012 8:48:52 PM,5
35277,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1863.55993652344,41.1199229541793,-104.852555778275,0,System.Byte[],ESRI_Metadata_Collect,41.1182314657916,41.1191721988462,41.1214267537337,41.1206599761832,-104.851532645244,-104.854711910969,-104.853462178006,-104.850596489966,Firebird,C208B,0,287.8681640625,5.25772857666016,-4.27259111404419,N97826,CA,UNCLASSIFIED//,7.75921249389648,41.134135099656,-104.84589912223,268.546875107229,-28.5781250282089,0,2943.35546875,4.3643856048584,1992.91389481931,0,1,9/19/2012 8:48:53 PM,5
50226,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1863.55993652344,41.1199363233149,-104.852558376665,0,System.Byte[],ESRI_Metadata_Collect,41.11825399048,41.1191764124289,41.1214332562047,41.1206802119834,-104.851521510305,-104.854705353806,-104.853476220837,-104.850608243909,Firebird,C208B,0,286.709075927734,5.7112340927124,-4.13983583450317,N97826,CA,UNCLASSIFIED//,7.75921249389648,41.1341568926043,-104.846027868263,268.812500133368,-28.7734375376131,0,2943.35546875,4.3643856048584,1990.71015277661,0,1,9/19/2012 8:48:53 PM,5
59076,ISO-3166 Two Letter,//CA,1/1/1970 12:00:00 AM,1863.55993652344,41.1199495667219,-104.852560891236,0,System.Byte[],ESRI_Metadata_Collect,41.1182763894399,41.1191827891713,41.1214396329471,41.120700322055,-104.851512580435,-104.854698712824,-104.853490179849,-104.850619914033,Firebird,C208B,0,286.198211669922,5.85955381393433,-4.14746522903442,N97826,CA,UNCLASSIFIED//,7.75921249389648,41.1341782664574,-104.846156865752,269.031250120381,-28.7968750152722,0,2943.35546875,4.3643856048584,1988.56927500772,0,1,9/19/2012 8:48:53 PM,5
