MISB Tag,LDS Name,Local metadata heading,Units,Notes  Put your column headings into the third column of the appropriate row.  Do not edit the first column.  Save as a CSV file
2,UNIX Time Stamp,2. UNIX Time Stamp,Microseconds (integer),"Coordinated Universal Time (UTC) expressed as microseconds since midnight (00:00:00), January 1, 1970. (Unix time stamp multiplied by one million)"
5,Platform Heading Angle,5. Platform Heading Angle,Degrees,"Aircraft heading relative to True North, measured clockwise in the horizontal plane looking down.  Compass direction, range 0.0 to 360.0"
90,Platform Pitch Angle (Full),6. Platform Pitch Angle,Degrees,Aircraft pitch relative to horizontal plane with positive angles for nose above the horizontal plane. 
91,Platform Roll Angle (Roll),7. Platform Roll Angle,Degrees,Platform roll angle relative to horizontal plane with positive angles for left wing above the horizontal plane. 
13,Sensor Latitude,13. Sensor Latitude,Degrees,Sensor Latitude. Based on WGS84 ellipsoid.  Range -90.0 to 90.0
14,Sensor Longitude,14. Sensor Longitude,Degrees,Sensor Longitude. Based on WGS84 ellipsoid. Range -180.0 to 180.0
15,Sensor True Altitude,15. Sensor True Altitude,Meters,Altitude of sensor as measured from Mean Sea Level (MSL). 
16,Sensor Horizontal Field of View,16. Sensor Horizontal Field of View,Degrees,Horizontal field of view of selected imaging sensor. 
17,Sensor Vertical Field of View,17. Sensor Vertical Field of View,Degrees,Vertical field of view of selected imaging sensor. 
18,Sensor Relative Azimuth Angle,18. Sensor Relative Azimuth Angle,Degrees,"Relative angle of sensor pointing direction to platform longitudinal axis as seen from above the platform. Compass direction, range 0.0 to 360.0"
19,Sensor Relative Elevation Angle,19. Sensor Relative Elevation Angle,Degrees,Relative angle of sensor pointing dhirection to the platform horizontal plane. Negative angles down. 
20,Sensor Relative Roll Angle,20. Sensor Relative Roll Angle,Degrees,Relative roll angle of sensor to aircraft platform. Top of image level is zero degrees. Positive angles are clockwise when looking from behind camera. 
23,Frame Center Latitude,23. Frame Center Latitude,Degrees,Latitude of frame center. Based on WGS84 ellipsoid. Range -90.0 to 90.0
24,Frame Center Longitude,24. Frame Center Longitude,Degrees,Longitude of frame center. Based on WGS84 ellipsoid. Range -180.0 to 180.0
25,Frame Center Elevation,25. Frame Center Elevation,Meters,Terrain elevation at frame center relative to Mean Sea Level (MSL). 
82,Corner Latitude Point 1 (Full),82. Corner Latitude Point 1 (Full),Degrees,Latitude for upper left corner of the image frame. Based on WGS84 ellipsoid. Range -90.0 to 90.0
83,Corner Longitude Point 1  (Full),83. Corner Longitude Point 1 (Full),Degrees,Longitude for upper left corner of the image frame. Based on WGS84 ellipsoid.  Range -180.0 to 180.0
