Checksum,UNIX Time Stamp,Mission ID,Platform Tail Number,Platform Heading Angle,Platform Pitch Angle,Platform Roll Angle,Platform True Airspeed,Platform Indicated Airspeed,Platform Designation,Image Source Sensor,Image Coordinate System,Sensor Latitude,Sensor Longitude,Sensor True Altitude,Sensor Horizontal Field of View,Sensor Vertical Field of View,Sensor Relative Azimuth Angle,Sensor Relative Elevation Angle,Sensor Relative Roll Angle,Slant Range,Target Width,Frame Center Latitude,Frame Center Longitude,Frame Center Elevation,Offset Corner Latitude Point 1,Offset Corner Longitude Point 1,Offset Corner Latitude Point 2,Offset Corner Longitude Point 2,Offset Corner Latitude Point 3, Offset Corner Longitude Point 3, Offset Corner Latitude Point 4, Offset Corner Longitude Point 4, Icing Detected, Wind Direction, Wind Speed, Static Pressure, Density Altitude, Outside Air Temperature, Target Location Latitude, Target Location Longitude, Target Location Elevation, Target Track Gate Width, Target Track Gate Height, Target Error Estimate - CE90, Target Error Estimate - LE90, Generic Flag Data 01, Security Local Metadata Set, Differential Pressure, Platform Angle of Attack, Platform Vertical Speed, Platform Sideslip Angle, Airfield Barometric Pressure, Airfield Elevation, Relative Humidity, Platform Ground Speed, Ground Range, Platform Fuel Remaining, Platform Call Sign, Weapon Load, Weapon Fired, Laser PRF Code, Sensor Field of View Name, Platform Magnetic Heading, UAS LDS Version Number, Target Location Covariance Matrix, Alternate Platform Latitude, Alternate Platform Longitude, Alternate Platform Altitude, Alternate Platform Name, Alternate Platform Heading, Event Start Time - UTC, RVT Local Data Set, VMTI Local Data Set, Sensor Ellipsoid Height, Alternate Platform Ellipsoid Height, Operational Mode, Frame Center Height Above Ellipsoid, Sensor North Velocity, Sensor East Velocity, Image Horizon Pixel Pack, Corner Latitude Point 1 (Full), Corner Longitude Point 1 (Full), Corner Latitude Point 2 (Full), Corner Longitude Point 2 (Full), Corner Latitude Point 3 (Full), Corner Longitude Point 3 (Full), Corner Latitude Point 4 (Full), Corner Longitude Point 4 (Full), Platform Pitch Angle (Full), Platform Roll Angle (Full), Platform Angle of Attack (Full), Platform Sideslip Angle (Full)
,1447400964,Delta,N112AQ,289.5,-1.6,-4.3,,,DJI P3,FC300X,WGS84,64.1563768572,-145.852886587,18.9,81.2,65.5,-70.7,72.5,0,258.4071913215,,64.1563768572,-145.852886587,100,64.1565511527,-145.8530116266,64.1562757503,-145.8532350647,64.1564779641,-145.8525381093,64.1562025617,-145.8527615474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400964,Delta,N112AQ,289.5,-1.6,-4.2,,,DJI P3,FC300X,WGS84,64.1563755718,-145.85288194,18.9,81.2,65.5,-70.7,89.9,0,258.4071913215,,64.1563755718,-145.85288194,100,64.1565487594,-145.8530077073,64.1562744695,-145.8532277772,64.1564766741,-145.8525361028,64.1562023842,-145.8527561727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400964,Delta,N112AQ,289.5,-1.6,-4.1,,,DJI P3,FC300X,WGS84,64.1563756387,-145.852882193,18.9,81.2,65.5,-70.7,90,0,258.4106001351,,64.1563756387,-145.852882193,100,64.1565488263,-145.8530079603,64.1562745364,-145.8532280302,64.156476741,-145.8525363558,64.1562024511,-145.8527564257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400964,Delta,N112AQ,289.5,-1.7,-4.1,,,DJI P3,FC300X,WGS84,64.1563755734,-145.852882231,18.9,81.2,65.5,-70.7,90,0,258.4106001351,,64.1563755734,-145.852882231,100,64.156548761,-145.8530079983,64.1562744711,-145.8532280682,64.1564766757,-145.8525363938,64.1562023858,-145.8527564637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400964,Delta,N112AQ,289.5,-1.8,-4.2,,,DJI P3,FC300X,WGS84,64.1563756496,-145.852882314,18.9,81.2,65.5,-70.7,89.9,0,258.4179960462,,64.1563756496,-145.852882314,100,64.1565488372,-145.8530080813,64.1562745473,-145.8532281512,64.1564767519,-145.8525364768,64.156202462,-145.8527565467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400964,Delta,N112AQ,289.5,-1.8,-4.3,,,DJI P3,FC300X,WGS84,64.1563756256,-145.852882522,18.9,81.2,65.5,-70.7,89.9,0,258.4179960462,,64.1563756256,-145.852882522,100,64.1565488132,-145.8530082893,64.1562745233,-145.8532283592,64.1564767279,-145.8525366848,64.156202438,-145.8527567547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400965,Delta,N112AQ,289.5,-1.7,-4.2,,,DJI P3,FC300X,WGS84,64.1563756018,-145.852882542,18.9,81.2,65.5,-70.7,90,0,258.4302008232,,64.1563756018,-145.852882542,100,64.1565487894,-145.8530083093,64.1562744995,-145.8532283792,64.1564767041,-145.8525367048,64.1562024142,-145.8527567747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400965,Delta,N112AQ,289.4,-1.4,-4.1,,,DJI P3,FC300X,WGS84,64.156375628,-145.852882801,18.9,81.2,65.5,-70.7,90,0,258.4373836853,,64.156375628,-145.852882801,100,64.1565488156,-145.8530085683,64.1562745257,-145.8532286382,64.1564767303,-145.8525369638,64.1562024404,-145.8527570337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400965,Delta,N112AQ,289.4,-1.3,-4,,,DJI P3,FC300X,WGS84,64.1563756077,-145.852882803,19,81.2,65.5,-70.7,89.9,0,258.4447161118,,64.1563756077,-145.852882803,100,64.1565497116,-145.8530092357,64.1562739705,-145.85323047,64.1564772449,-145.852535136,64.1562015038,-145.8527563703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400965,Delta,N112AQ,289.3,-1.2,-4.1,,,DJI P3,FC300X,WGS84,64.156375485,-145.852882985,19,81.2,65.5,-70.7,89.9,0,258.4356160484,,64.156375485,-145.852882985,100,64.1565495889,-145.8530094177,64.1562738478,-145.853230652,64.1564771222,-145.852535318,64.1562013811,-145.8527565523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400965,Delta,N112AQ,289.5,-1.3,-4.1,,,DJI P3,FC300X,WGS84,64.156375504,-145.852883206,19,81.2,65.5,-70.7,90,0,258.4356160484,,64.156375504,-145.852883206,100,64.1565496079,-145.8530096387,64.1562738668,-145.853230873,64.1564771412,-145.852535539,64.1562014001,-145.8527567733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400965,Delta,N112AQ,289.5,-1.3,-4,,,DJI P3,FC300X,WGS84,64.1563754782,-145.8528832,19,81.2,65.5,-70.7,90,0,258.4356160484,,64.1563754782,-145.8528832,100,64.1565495821,-145.8530096327,64.156273841,-145.853230867,64.1564771154,-145.852535533,64.1562013743,-145.8527567673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400965,Delta,N112AQ,289.6,-1.3,-3.9,,,DJI P3,FC300X,WGS84,64.1563755286,-145.852883327,19,81.2,65.5,-70.7,89.9,0,258.4403334726,,64.1563755286,-145.852883327,100,64.1565496325,-145.8530097597,64.1562738914,-145.853230994,64.1564771658,-145.85253566,64.1562014247,-145.8527568943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400965,Delta,N112AQ,289.5,-1.1,-3.9,,,DJI P3,FC300X,WGS84,64.1563755036,-145.852883313,19,81.2,65.5,-70.7,89.9,0,258.4403334726,,64.1563755036,-145.852883313,100,64.1565496075,-145.8530097457,64.1562738664,-145.85323098,64.1564771408,-145.852535646,64.1562013997,-145.8527568803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400965,Delta,N112AQ,289.4,-1.1,-3.9,,,DJI P3,FC300X,WGS84,64.1563754825,-145.852883486,19,81.2,65.5,-70.7,90,0,258.4455682915,,64.1563754825,-145.852883486,100,64.1565495864,-145.8530099187,64.1562738453,-145.853231153,64.1564771197,-145.852535819,64.1562013786,-145.8527570533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1447400965,Delta,N112AQ,289.4,-1.3,-3.9,,,DJI P3,FC300X,WGS84,64.1563755559,-145.852883514,19,81.2,65.5,-70.7,90,0,258.4455682915,,64.1563755559,-145.852883514,100,64.1565496598,-145.8530099467,64.1562739187,-145.853231181,64.1564771931,-145.852535847,64.156201452,-145.8527570813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
